CEO,Gender,Company,Ticker,Industry,Founder,Years.as.company.CEO,Years.with.company,Age,Total.2008.compensation,2008.Salary,2008.Bonus,2008.Other,2008.Stock.gains,5-year.compensation.total,Shares.owned.($.millions),6-year.average.compensation,6-year.annual.total.return,6-year.return.relative.to.industry,6-year.return.relative.to.market,Performance.vs.pay.rank,Total.return.during.tenure,Relative.to.market
D Bryan Jordan,M,First Horizon National,FHN,Banking,No,1,2,47,0.73,0.7,0,0.03,0,NA,1.9,NA,NA,NA,NA,NA,33%,249
R Adam Norwitt,M,Amphenol,APH,Technology Hardware & Equipment,No,0.5,11,40,0.71,0.42,0.27,0.03,0,NA,0,NA,NA,NA,NA,NA,NA,NA
Richard H Anderson,M,Delta Air Lines,DAL,Transportation,No,2,2,54,0.6,0.6,0,0,0,NA,11.5,NA,NA,NA,NA,NA,-40%,81
Michael S Dunlap,M,Nelnet,NNI,Diversified Financials,Yes,13,13,46,0.51,0.5,0,0.01,0,5.05,180.2,NA,NA,NA,NA,NA,-13%,88
Eric E Schmidt,M,Google,GOOG,Software & Services,No,8,8,54,0.51,0,0,0.51,0,1.66,3491.1,NA,NA,NA,NA,NA,32%,136
Charles A Schrock,M,Integrys Energy Group,TEG,Utilities,No,0.5,30,55,0.46,0.32,0.12,0.03,0,NA,0.5,NA,NA,NA,NA,NA,NA,NA
Joseph W Brown,M,MBIA,MBI,Insurance,No,1,10,60,0.44,0.44,0,0,0,NA,20.8,NA,NA,NA,NA,NA,-52%,68
Leland E Tollett,M,Tyson Foods,TSN,Food Drink & Tobacco,No,0.5,0.5,72,0.13,0.13,0,0,0,NA,22.9,NA,NA,NA,NA,NA,NA,NA
Warren E Buffett,M,Berkshire Hathaway,BRK.A,Diversified Financials,No,39,44,78,0.1,0.1,0,0,0,0.5,38530.8,0.1,5%,107,103,18,24%,113
Herbert M Allison Jr,M,Fannie Mae,FNM,Diversified Financials,No,1,1,66,0.06,0,0,0.06,0,NA,0,NA,NA,NA,NA,NA,-97%,4
Steven P Jobs,M,Apple,AAPL,Technology Hardware & Equipment,Yes,12,34,54,0,0,0,0,0,661.24,663.1,110.21,60%,147,157,25,30%,128
Edward M Liddy,M,American Intl Group,AIG,Insurance,No,1,1,63,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,-78%,38
John A Koskinen,M,Freddie Mac,FRE,Diversified Financials,No,0.5,0.5,68,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
